mse,r2
2.4587066173553467,0.9809294939041138
6.174893856048584,0.9905134439468384
4.767209529876709,0.9936915040016174
5.70768404006958,0.9872096180915833
6.719430923461914,0.9885678291320801
3.1458561420440674,0.9943302869796753
5.586366176605225,0.9914358854293823
15.638448715209961,0.9536341428756714
2.200899362564087,0.9949275255203247
20.248247146606445,0.9384444355964661
3.050260543823242,0.9945619106292725
3.461395740509033,0.9766649007797241
3.9869930744171143,0.9786053895950317
2.615981101989746,0.994415819644928
2.0485827922821045,0.9941035509109497
8.516433715820312,0.9812529683113098
12.594259262084961,0.9662802815437317
45.32504653930664,0.9553712010383606
17.52923011779785,0.9759820699691772
9.064749717712402,0.9862580895423889
3.737380027770996,0.9947070479393005
37.948974609375,0.9171783924102783
35.373802185058594,0.8851247429847717
15.016942977905273,0.9614744782447815
4.09822416305542,0.9885592460632324
46.84968185424805,0.9195232391357422
2.7968451976776123,0.9944943189620972
16.989421844482422,0.853830099105835
13.559755325317383,0.9807887673377991
8.090555191040039,0.9882631301879883
7.4995269775390625,0.9833918809890747
19.663246154785156,0.9681156873703003
12.060277938842773,0.9833980202674866
11.06566333770752,0.9643754959106445
46.60487747192383,0.9494431018829346
5.894712924957275,0.9819111824035645
25.50159454345703,0.9674920439720154
15.682289123535156,0.9644233584403992
10.723508834838867,0.9665001630783081
