Sample ID,Model,MSE,R2,Params,Category
0,Model 6,481.33427740556067,-2.733386218152559,[-0.034887056773629126],C
1,Model 6,21.340295455819316,0.9672146731224952,[-0.029382361315034723],C
2,Model 6,49.26373748540065,0.9348085091283049,[-0.017050499181714543],C
3,Model 6,95.2068737554258,0.7866504501036643,[-0.02838187396170233],C
4,Model 6,640.3272485826518,-0.08942731156206696,[-0.021996626679717073],D
5,Model 6,59.05237130512465,0.8935714933388341,[-0.002114335763108566],F
6,Model 6,93.08046209898168,0.8573035693218978,[-0.062077119791235646],B
7,Model 6,536.344841449161,-0.590189916818181,[-0.0022306056221698175],G
8,Model 6,162.12010760086224,0.6263565161054421,[-0.008358971380363933],E
9,Model 6,446.295254432742,-0.3567568693093879,[-0.0673564788228103],B
10,Model 6,162.58702798505377,0.7101365353523159,[-0.019757892653008452],D
11,Model 6,111.65415932891243,0.24728007459090406,[-0.0054599784768012884],D
12,Model 6,766.5538661348304,-3.1134007511814694,[-0.012276997861026538],E
13,Model 6,823.5674712763623,-0.7580220670383482,[-0.004707822661739352],F
14,Model 6,78.59213613188233,0.7737866930107077,[-0.0023143864714324247],F
15,Model 6,354.40132578028926,0.2198635566108238,[-0.004564185290384825],F
16,Model 6,212.52088863987274,0.4309994471896107,[-0.11569125546759054],B
17,Model 6,10.089404454329948,0.9900655774400786,[-0.011153303852531455],D
18,Model 6,240.83570929787282,0.6700154810443248,[-0.01106348683456777],E
19,Model 6,1429.460036046287,-1.1670208325999933,[-0.006645713187744435],F
20,Model 6,70.66037324925293,0.8999296624856693,[-0.0073222413504894],E
21,Model 6,15.821220520867483,0.9654710355354121,[-0.0017929795808785075],F
22,Model 6,568.0527005877831,-0.844731859245617,[-0.012455340073604873],E
23,Model 6,116.3955490380571,0.7013908351479622,[-0.04622325656363602],B
24,Model 6,193.06141752726722,0.46104287866135574,[-0.002130415894773908],F
25,Model 6,250.72525386760114,0.5693128608793223,[-0.015544982778994215],E
26,Model 6,793.4956411598209,-0.5620171937003984,[-0.008999001802830213],E
27,Model 6,107.75149021776444,0.07295128836286091,[-0.533460468404812],A
28,Model 6,382.7917269632654,0.45766742107820024,[-0.060009327241345646],C
29,Model 6,359.5098207480917,0.4784639795972345,[-0.008670910268045853],E
30,Model 6,277.76381241585415,0.3848769637915016,[-0.0061425980493888055],E
31,Model 6,435.91045169370096,0.29316391044586254,[-0.0025595966767673886],G
32,Model 6,354.073138636005,0.5125889760647302,[-0.06368509934679294],C
33,Model 6,115.3712863924481,0.628576455786928,[-0.009852114523235896],D
34,Model 6,194.2541478270838,0.7892733696305635,[-0.06219211184501145],C
35,Model 6,275.68724209715964,0.15401134406421202,[-0.008735937029384067],E
36,Model 6,528.609015118825,0.3261594199537583,[-0.06983628382458433],E
37,Model 6,2397.4618338757705,-4.438849499348822,[-0.022345692056657766],B
38,Model 6,317.2979284999046,0.008772509779805149,[-0.0010022924496942522],D
