Sample ID,Model,MSE,R2,Params,Category
0,Model 4,468.35400975749843,-2.632707013242381,[0.15340697893773705],C
1,Model 4,60.063392396637326,0.9077239601873176,[0.1736572508803127],C
2,Model 4,172.82341376241098,0.7713000154719023,[0.12961771969675148],C
3,Model 4,15.524202911879998,0.9652117376287631,[0.1655623810085303],C
4,Model 4,450.9812540490506,0.2327184322531145,[0.14710559408903195],D
5,Model 4,5.668017933957404,0.989784683136214,[0.04620276624411389],F
6,Model 4,88.59791277527152,0.8641755140287449,[0.2241576315364401],B
7,Model 4,88.55469432643837,0.7374473079216398,[0.03082960544256019],G
8,Model 4,80.90627442315485,0.8135326783842082,[0.07610338143397545],E
9,Model 4,242.30741995527362,0.2633749670343043,[0.21528851593626303],B
10,Model 4,87.56565343317841,0.8438861697465017,[0.12852524931626635],D
11,Model 4,18.863994048642983,0.8728278079513039,[0.06587153956768214],D
12,Model 4,147.35568463585895,0.20927541996717514,[0.06189088938835434],E
13,Model 4,601.8567112377473,-0.28474887177280284,[0.05903091363637005],F
14,Model 4,3.317141492496058,0.9904522057332843,[0.04634236838577681],F
15,Model 4,246.4905987266682,0.457405249271823,[0.05726336030590788],F
16,Model 4,57.14784161174737,0.8469931418171944,[0.2658723474186851],B
17,Model 4,110.14750399272391,0.8915444560144737,[0.1000172199871628],D
18,Model 4,56.45868795702406,0.9226423147934246,[0.09658497747845202],E
19,Model 4,950.3372662130087,-0.4406843157194993,[0.08682784085960528],F
20,Model 4,9.875116218071366,0.9860147043173723,[0.08379696653851086],E
21,Model 4,22.0236196540283,0.9519346323873977,[0.04231192829177584],F
22,Model 4,259.2212225934426,0.15818788042743137,[0.08599130392395643],E
23,Model 4,27.10250350131085,0.9304693692945275,[0.20987695791966485],B
24,Model 4,35.8044031277218,0.9000471544852309,[0.0450740979614444],F
25,Model 4,221.71163775953414,0.6191514436482026,[0.09941529264241472],E
26,Model 4,449.2597002692798,0.11562037665187352,[0.09478244104491132],E
27,Model 4,96.29734294107949,0.1714979762489669,[0.7099797987754816],A
28,Model 4,186.3948553569275,0.7359190507970951,[0.24841190751896478],C
29,Model 4,199.47037994202282,0.7106310255260464,[0.08786182633103683],E
30,Model 4,76.94587801420427,0.8295991774588543,[0.0741988902943023],E
31,Model 4,244.90654926795028,0.6028799334401067,[0.04972183599443332],G
32,Model 4,259.5883633253132,0.6426551009842532,[0.26013401677264947],C
33,Model 4,9.81889909679292,0.9683892724365074,[0.09402706647918228],D
34,Model 4,247.8648025011142,0.7311166057327128,[0.22729658511008874],C
35,Model 4,61.2782560347808,0.8119582572388924,[0.06124349199102165],E
36,Model 4,320.9351385425759,0.5908902161569496,[0.2886021962088355],E
37,Model 4,1508.0215036136822,-2.421077192572957,[0.17250632604920918],B
38,Model 4,133.68841826156208,0.5823621164770519,[0.03123703673794427],D
