Sample ID,Model,MSE,R2,Params,Category
0,Model 3,299.7500215578841,-1.324959289014493,[0.20214381490600025],C
1,Model 3,41.87065145797108,0.9356736649937376,[0.07945531102803846],C
2,Model 3,102.34796322798283,0.864561305108226,[0.042430302272984076],C
3,Model 3,37.06557007189732,0.916939582410774,[0.07661835072845867],C
4,Model 3,102.04125390375003,0.826391069324554,[0.323670327160488],D
5,Model 3,17.98726170588796,0.9675820401455225,[0.00578720345226934],F
6,Model 3,34.10610670522708,0.9477138426108476,[0.17027793339397393],B
7,Model 3,203.21232632311552,0.39750293594869135,[0.0026537705121915866],G
8,Model 3,73.00514489661028,0.8317426685371174,[0.01832879001601339],E
9,Model 3,329.42124719447474,-0.0014548341896505335,[0.16000821469996837],B
10,Model 3,84.8212019806828,0.8487790336879649,[0.05872539307494213],D
11,Model 3,84.54248333390336,0.43005426639294964,[0.013180758743438804],D
12,Model 3,291.6266370109476,-0.5648961941760817,[0.010622874329311532],E
13,Model 3,516.3711727390404,-0.10226781425790232,[0.2173001659637844],F
14,Model 3,46.7408675095254,0.8654648323448635,[0.005933468909030072],F
15,Model 3,266.9201216224618,0.4124341552812131,[0.013434843841447018],F
16,Model 3,111.84009085199898,0.7005608534369165,[0.22926297157385367],B
17,Model 3,26.73573402689326,0.9736749497480162,[0.028442005999398667],D
18,Model 3,123.01431267703529,0.8314501661247083,[0.03872913355877184],E
19,Model 3,55.15876193435837,0.9163808828522523,[0.209930981125897],F
20,Model 3,43.02935026993371,0.9390611539887366,[0.019799578530761187],E
21,Model 3,13.518379043563614,0.9704968634374079,[0.0046605049723863826],F
22,Model 3,456.9077915489832,-0.48379254061430643,[0.030272861197476058],E
23,Model 3,85.40851035059758,0.7808871201878195,[0.1204851304967565],B
24,Model 3,119.48207149613354,0.666449598630761,[0.005832117888701363],F
25,Model 3,235.7229594947161,0.5950832814653397,[0.04799590977841517],E
26,Model 3,157.85824586338956,0.6892518604820725,[0.09439953786918398],E
27,Model 3,23.523803363190506,0.7976110441110555,[1.7146054886670246],A
28,Model 3,44.29581424670314,0.93724247029466,[0.29559113342957],C
29,Model 3,164.14815732256875,0.7618724947532216,[0.046518185521751056],E
30,Model 3,175.9245755219063,0.6104054804780985,[0.017276949549165824],E
31,Model 3,79.23636941970602,0.8715169014794665,[0.014882903851052955],G
32,Model 3,1.0340078821182865,0.9985766024428684,[0.3198026058776329],C
33,Model 3,83.91204245328656,0.7298555889882358,[0.025085215365299764],D
34,Model 3,52.685621236923566,0.9428467110928306,[0.2356812434602775],C
35,Model 3,166.50488646141716,0.48905417591071565,[0.012956455505265845],E
36,Model 3,14.17558045938737,0.9819297796934119,[0.38536172301477073],E
37,Model 3,38.76971705880018,0.9120475441003091,[0.5413672709795511],B
38,Model 3,237.76511038263598,0.257230216595698,[0.0028740721848922414],D
